months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,vehicle_claim,auto_make,auto_model,fraud_reported
196.0,IN,500/1000,2000.0,1475.73,0.0,FEMALE,High School,handlers-cleaners,camping,own-child,57000.0,-27300.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,3.0,?,2.0,0.0,NO,48320.0,Nissan,Pathfinder,0.0
460.0,IN,250/500,1000.0,1187.96,4000000.0,MALE,JD,other-service,bungie-jumping,own-child,0.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3.0,NO,1.0,0.0,?,41920.0,Suburu,Impreza,0.0
217.0,IL,500/1000,2000.0,875.15,0.0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700.0,0.0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,3.0,?,1.0,2.0,?,33110.0,Accura,RSX,0.0
370.0,IL,100/300,2000.0,972.18,0.0,MALE,High School,prof-specialty,paintball,other-relative,72700.0,-68200.0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,3.0,NO,0.0,0.0,YES,47680.0,Suburu,Forrestor,1.0
413.0,IN,100/300,2000.0,1268.79,0.0,MALE,MD,priv-house-serv,chess,own-child,0.0,-31000.0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,1.0,?,2.0,2.0,?,73620.0,Dodge,RAM,1.0
237.0,IN,100/300,1000.0,883.31,0.0,MALE,College,craft-repair,kayaking,husband,0.0,-53500.0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,1.0,NO,1.0,3.0,NO,56640.0,Ford,Escape,0.0
8.0,OH,100/300,2000.0,1266.92,0.0,MALE,Masters,sales,polo,own-child,0.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,3.0,NO,1.0,3.0,YES,44000.0,Ford,Escape,1.0
257.0,IN,100/300,2000.0,1322.1,0.0,MALE,High School,prof-specialty,golf,own-child,0.0,-29200.0,Parked Car,?,Minor Damage,Police,PA,1.0,YES,1.0,3.0,YES,6560.0,Toyota,Camry,0.0
202.0,IN,100/300,500.0,848.07,3000000.0,MALE,JD,exec-managerial,chess,not-in-family,31000.0,-30200.0,Vehicle Theft,?,Minor Damage,,VA,1.0,YES,2.0,1.0,?,4160.0,Suburu,Forrestor,1.0
224.0,OH,100/300,2000.0,1291.7,0.0,FEMALE,JD,sales,kayaking,not-in-family,0.0,-55600.0,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,1.0,NO,1.0,0.0,YES,46560.0,Dodge,Neon,0.0
241.0,IL,500/1000,2000.0,1104.5,0.0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0.0,0.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,NO,2.0,2.0,NO,63450.0,Accura,TL,0.0
64.0,IL,250/500,1000.0,954.16,0.0,MALE,Masters,prof-specialty,video-games,husband,53200.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,4.0,NO,0.0,0.0,?,50400.0,Toyota,Corolla,0.0
166.0,IL,100/300,2000.0,1337.28,8000000.0,MALE,JD,craft-repair,reading,husband,27500.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,3.0,NO,2.0,2.0,?,52220.0,Ford,F150,1.0
155.0,IL,500/1000,1000.0,1088.34,0.0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,3.0,YES,2.0,3.0,NO,23170.0,BMW,3 Series,0.0
114.0,IL,100/300,1000.0,1558.29,0.0,MALE,High School,farming-fishing,video-games,wife,51400.0,-64000.0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,3.0,NO,1.0,2.0,?,49070.0,Suburu,Impreza,0.0
149.0,IL,500/1000,500.0,1415.68,0.0,MALE,PhD,prof-specialty,yachting,own-child,0.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,1.0,YES,0.0,1.0,YES,48600.0,Audi,A3,0.0
147.0,OH,100/300,1000.0,1334.15,6000000.0,MALE,High School,craft-repair,reading,not-in-family,53300.0,-49200.0,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,1.0,YES,2.0,0.0,YES,37170.0,Mercedes,C300,1.0
62.0,IL,100/300,1000.0,988.45,0.0,FEMALE,Masters,protective-serv,camping,unmarried,0.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,1.0,?,1.0,1.0,YES,48160.0,Suburu,Forrestor,1.0
289.0,IL,500/1000,2000.0,1222.48,0.0,FEMALE,JD,priv-house-serv,golf,unmarried,0.0,0.0,Parked Car,?,Minor Damage,,WV,1.0,NO,1.0,1.0,YES,3280.0,Suburu,Legacy,0.0
431.0,IN,500/1000,2000.0,1155.55,0.0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,3.0,?,2.0,0.0,?,43610.0,Jeep,Wrangler,0.0
199.0,IN,250/500,500.0,1262.08,0.0,MALE,JD,tech-support,video-games,wife,48500.0,0.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,1.0,?,0.0,3.0,NO,38290.0,Nissan,Pathfinder,1.0
79.0,IL,100/300,500.0,1451.62,0.0,MALE,Associate,tech-support,kayaking,not-in-family,0.0,-55700.0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,1.0,NO,2.0,2.0,?,28000.0,BMW,M5,0.0
116.0,IN,250/500,500.0,1737.66,0.0,MALE,Associate,transport-moving,chess,unmarried,0.0,-24100.0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,1.0,?,1.0,1.0,?,64720.0,BMW,X5,1.0
37.0,IL,500/1000,500.0,1475.93,0.0,FEMALE,College,prof-specialty,hiking,husband,0.0,-67400.0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,3.0,YES,1.0,0.0,NO,40180.0,Dodge,RAM,0.0
106.0,OH,250/500,500.0,538.17,0.0,FEMALE,PhD,transport-moving,reading,own-child,49700.0,-60200.0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,1.0,NO,2.0,2.0,NO,39760.0,Mercedes,E400,0.0
269.0,IL,100/300,2000.0,1081.08,0.0,MALE,JD,priv-house-serv,reading,unmarried,36400.0,-28700.0,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,1.0,YES,0.0,2.0,?,33840.0,Toyota,Highlander,0.0
265.0,IL,250/500,1000.0,1454.43,0.0,FEMALE,MD,protective-serv,yachting,husband,0.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,3.0,NO,2.0,3.0,?,48230.0,Accura,MDX,0.0
163.0,IN,100/300,500.0,1240.47,0.0,FEMALE,Associate,other-service,polo,husband,35300.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,3.0,YES,1.0,1.0,?,63090.0,Honda,Civic,0.0
355.0,OH,500/1000,2000.0,1273.7,4000000.0,MALE,College,other-service,kayaking,husband,0.0,0.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,3.0,NO,2.0,1.0,NO,50240.0,Audi,A3,1.0
175.0,IN,500/1000,1000.0,1123.87,8000000.0,FEMALE,PhD,protective-serv,dancing,other-relative,0.0,0.0,Vehicle Theft,?,Trivial Damage,Police,NY,1.0,?,2.0,0.0,YES,5670.0,Volkswagen,Passat,0.0
192.0,IL,100/300,1000.0,1245.89,0.0,FEMALE,Masters,exec-managerial,movies,wife,0.0,-40300.0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,1.0,NO,0.0,0.0,?,53620.0,Mercedes,C300,0.0
430.0,OH,250/500,2000.0,1326.62,7000000.0,MALE,MD,other-service,bungie-jumping,own-child,0.0,0.0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,3.0,?,0.0,3.0,YES,57260.0,Nissan,Pathfinder,0.0
91.0,IL,100/300,2000.0,1073.83,0.0,FEMALE,JD,farming-fishing,polo,husband,0.0,0.0,Vehicle Theft,?,Trivial Damage,,NY,1.0,?,1.0,2.0,?,5280.0,BMW,M5,0.0
217.0,IN,100/300,1000.0,1530.52,0.0,MALE,College,armed-forces,basketball,not-in-family,0.0,0.0,Vehicle Theft,?,Minor Damage,,WV,1.0,?,2.0,1.0,YES,3440.0,Toyota,Corolla,0.0
223.0,IN,100/300,500.0,1201.41,0.0,FEMALE,JD,priv-house-serv,movies,husband,88400.0,-46500.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,3.0,YES,1.0,0.0,?,44870.0,Suburu,Forrestor,0.0
195.0,OH,250/500,1000.0,1393.57,0.0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600.0,-39600.0,Parked Car,?,Minor Damage,Police,VA,1.0,NO,0.0,1.0,YES,1680.0,Ford,F150,0.0
22.0,OH,100/300,1000.0,1276.57,0.0,MALE,PhD,craft-repair,skydiving,not-in-family,71500.0,0.0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,1.0,YES,1.0,2.0,NO,55230.0,Chevrolet,Silverado,0.0
439.0,IN,250/500,500.0,1082.49,0.0,FEMALE,PhD,prof-specialty,chess,unmarried,36100.0,-55000.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,3.0,?,2.0,3.0,?,50160.0,Honda,CRV,0.0
94.0,IN,500/1000,1000.0,1414.74,0.0,FEMALE,Masters,adm-clerical,hiking,own-child,0.0,0.0,Parked Car,?,Minor Damage,,VA,1.0,NO,1.0,3.0,NO,1800.0,Chevrolet,Silverado,0.0
11.0,IL,250/500,2000.0,1470.06,0.0,MALE,PhD,other-service,yachting,husband,56600.0,-45800.0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,1.0,YES,0.0,1.0,NO,51170.0,Saab,93,0.0
151.0,OH,250/500,2000.0,870.63,0.0,FEMALE,MD,adm-clerical,kayaking,own-child,94800.0,-58500.0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,3.0,NO,1.0,1.0,NO,45760.0,Ford,Escape,0.0
154.0,IN,100/300,500.0,795.23,0.0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,3.0,YES,2.0,1.0,?,54040.0,Nissan,Maxima,1.0
245.0,IL,500/1000,1000.0,1168.2,0.0,MALE,JD,handlers-cleaners,basketball,husband,69100.0,0.0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,3.0,NO,0.0,3.0,NO,33210.0,Honda,Accord,0.0
119.0,IL,500/1000,1000.0,993.51,0.0,MALE,High School,armed-forces,bungie-jumping,unmarried,0.0,-49500.0,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,1.0,NO,0.0,3.0,YES,39410.0,BMW,M5,0.0
215.0,OH,500/1000,500.0,1848.81,0.0,MALE,JD,transport-moving,video-games,own-child,0.0,-49000.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,3.0,YES,2.0,2.0,YES,51390.0,Suburu,Legacy,1.0
295.0,OH,250/500,2000.0,1641.73,5000000.0,MALE,PhD,sales,chess,not-in-family,62400.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,3.0,NO,0.0,0.0,NO,45990.0,Ford,Escape,1.0
254.0,IN,100/300,500.0,1362.87,0.0,FEMALE,MD,exec-managerial,chess,other-relative,35700.0,0.0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,3.0,YES,2.0,2.0,NO,61740.0,Dodge,Neon,1.0
107.0,IN,250/500,500.0,1239.22,7000000.0,FEMALE,High School,tech-support,paintball,not-in-family,43400.0,-91200.0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,1.0,YES,0.0,1.0,NO,62100.0,Audi,A5,1.0
478.0,OH,250/500,500.0,835.02,0.0,FEMALE,Associate,adm-clerical,reading,unmarried,59600.0,0.0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,3.0,NO,1.0,1.0,NO,30160.0,BMW,X6,0.0
128.0,OH,100/300,1000.0,1061.33,0.0,MALE,MD,machine-op-inspct,movies,own-child,43300.0,-66200.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,1.0,NO,0.0,3.0,NO,49840.0,Audi,A5,0.0
338.0,IN,500/1000,1000.0,1279.08,0.0,MALE,MD,other-service,kayaking,own-child,0.0,-51500.0,Parked Car,?,Minor Damage,,NC,1.0,NO,0.0,1.0,?,2580.0,Ford,F150,0.0
271.0,OH,100/300,500.0,1105.49,0.0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200.0,-50000.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,2.0,?,2.0,3.0,?,49680.0,Audi,A3,1.0
222.0,OH,100/300,2000.0,1055.53,0.0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800.0,-50300.0,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,1.0,NO,0.0,2.0,NO,47670.0,Honda,Civic,1.0
199.0,OH,250/500,1000.0,895.83,0.0,FEMALE,Associate,sales,paintball,husband,0.0,0.0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,1.0,NO,1.0,2.0,NO,27090.0,Chevrolet,Malibu,0.0
215.0,IN,100/300,500.0,1632.93,0.0,FEMALE,College,transport-moving,golf,not-in-family,0.0,-42900.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,3.0,NO,2.0,0.0,YES,42840.0,Mercedes,C300,0.0
192.0,IL,100/300,1000.0,1405.99,0.0,FEMALE,Associate,sales,yachting,wife,0.0,0.0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,3.0,YES,1.0,0.0,YES,28620.0,BMW,X6,0.0
120.0,OH,100/300,1000.0,1425.54,0.0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,3.0,NO,2.0,0.0,NO,34140.0,Ford,Fusion,0.0
270.0,OH,500/1000,1000.0,1038.09,0.0,FEMALE,College,handlers-cleaners,golf,husband,0.0,-19700.0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,3.0,NO,1.0,1.0,YES,67050.0,Suburu,Legacy,0.0
319.0,IN,250/500,500.0,1307.11,0.0,MALE,College,transport-moving,dancing,not-in-family,0.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,3.0,NO,0.0,2.0,?,38010.0,Audi,A3,0.0
194.0,OH,500/1000,1000.0,1489.24,6000000.0,FEMALE,JD,other-service,kayaking,wife,0.0,-45000.0,Vehicle Theft,?,Minor Damage,,SC,1.0,YES,2.0,2.0,YES,5580.0,Saab,95,0.0
227.0,OH,500/1000,500.0,976.67,0.0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0.0,0.0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,1.0,?,1.0,2.0,?,50540.0,BMW,M5,1.0
137.0,OH,250/500,2000.0,1340.43,0.0,MALE,High School,exec-managerial,paintball,husband,52700.0,-40600.0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,3.0,NO,1.0,2.0,NO,30480.0,Accura,MDX,0.0
244.0,OH,500/1000,2000.0,1267.81,5000000.0,FEMALE,Masters,exec-managerial,video-games,wife,0.0,0.0,Vehicle Theft,?,Trivial Damage,,NC,1.0,?,2.0,1.0,?,4620.0,Accura,TL,0.0
78.0,IL,250/500,1000.0,1234.2,6000000.0,MALE,Masters,other-service,bungie-jumping,other-relative,0.0,0.0,Vehicle Theft,?,Minor Damage,Police,NY,1.0,YES,2.0,2.0,NO,5250.0,Nissan,Maxima,0.0
200.0,IN,250/500,2000.0,1318.06,0.0,MALE,High School,exec-managerial,video-games,wife,57300.0,-80600.0,Vehicle Theft,?,Trivial Damage,,VA,1.0,NO,0.0,3.0,YES,4130.0,Volkswagen,Jetta,0.0
284.0,IN,500/1000,2000.0,769.95,0.0,MALE,Masters,prof-specialty,movies,not-in-family,0.0,-44200.0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,2.0,?,2.0,3.0,NO,44320.0,Audi,A3,1.0
275.0,OH,100/300,2000.0,1514.72,0.0,MALE,High School,transport-moving,board-games,own-child,35700.0,0.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,3.0,YES,0.0,1.0,?,40810.0,Suburu,Legacy,0.0
153.0,IL,500/1000,1000.0,873.64,4000000.0,FEMALE,Associate,priv-house-serv,yachting,husband,800.0,0.0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,3.0,NO,2.0,1.0,?,45600.0,Ford,F150,0.0
134.0,IL,500/1000,500.0,1612.43,0.0,FEMALE,MD,other-service,yachting,own-child,36400.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,1.0,?,2.0,1.0,YES,40880.0,BMW,3 Series,0.0
31.0,IL,500/1000,2000.0,1318.24,9000000.0,FEMALE,College,prof-specialty,kayaking,not-in-family,0.0,-78600.0,Parked Car,?,Trivial Damage,,WV,1.0,NO,0.0,1.0,YES,3290.0,Dodge,Neon,0.0
41.0,IN,100/300,1000.0,1226.83,0.0,FEMALE,College,exec-managerial,exercise,not-in-family,0.0,-56100.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,3.0,YES,2.0,0.0,?,39480.0,Accura,MDX,1.0
127.0,OH,250/500,2000.0,1326.44,5000000.0,FEMALE,High School,sales,board-games,own-child,0.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,2.0,YES,1.0,1.0,?,46350.0,Saab,93,0.0
61.0,IL,250/500,2000.0,1136.83,4000000.0,FEMALE,Associate,tech-support,exercise,own-child,0.0,-62400.0,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,1.0,NO,0.0,3.0,?,71520.0,Honda,Accord,1.0
207.0,IL,250/500,2000.0,1322.78,0.0,MALE,PhD,farming-fishing,yachting,own-child,55200.0,0.0,Parked Car,?,Trivial Damage,,WV,1.0,NO,0.0,1.0,NO,4720.0,BMW,X5,0.0
219.0,IN,100/300,1000.0,1483.25,0.0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700.0,-20800.0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,3.0,NO,1.0,1.0,?,53010.0,Ford,Fusion,0.0
271.0,IL,100/300,500.0,1515.3,0.0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,3.0,NO,1.0,0.0,NO,68160.0,Mercedes,ML350,0.0
80.0,IL,100/300,2000.0,1075.18,5000000.0,FEMALE,PhD,armed-forces,exercise,husband,67700.0,-58400.0,Vehicle Theft,?,Minor Damage,,OH,1.0,NO,2.0,0.0,YES,5040.0,Toyota,Highlander,0.0
325.0,IN,500/1000,1000.0,1690.27,0.0,FEMALE,Associate,protective-serv,hiking,not-in-family,61500.0,0.0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,1.0,YES,0.0,3.0,NO,59670.0,Dodge,RAM,1.0
29.0,IL,250/500,2000.0,1352.83,0.0,MALE,Masters,farming-fishing,skydiving,own-child,0.0,-71700.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,4.0,YES,1.0,2.0,YES,50470.0,Nissan,Pathfinder,1.0
295.0,OH,250/500,1000.0,1148.73,0.0,FEMALE,College,machine-op-inspct,kayaking,wife,0.0,0.0,Parked Car,?,Trivial Damage,,WV,1.0,?,1.0,2.0,YES,3600.0,Saab,95,0.0
239.0,IL,100/300,1000.0,969.5,0.0,MALE,College,exec-managerial,reading,not-in-family,0.0,0.0,Vehicle Theft,?,Trivial Damage,,NC,1.0,NO,0.0,0.0,?,4200.0,Audi,A3,0.0
269.0,IN,100/300,500.0,1463.82,0.0,FEMALE,College,protective-serv,yachting,not-in-family,0.0,-72300.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,YES,0.0,0.0,?,47580.0,Saab,92x,0.0
80.0,IL,100/300,1000.0,1474.17,0.0,FEMALE,College,tech-support,exercise,unmarried,0.0,0.0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,1.0,YES,1.0,0.0,YES,36960.0,Saab,95,0.0
279.0,IL,250/500,500.0,1497.35,0.0,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300.0,-31700.0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,3.0,?,2.0,3.0,NO,25200.0,Ford,Fusion,0.0
165.0,OH,100/300,1000.0,1427.14,0.0,FEMALE,Associate,tech-support,kayaking,other-relative,35300.0,-58100.0,Parked Car,?,Minor Damage,Police,WV,1.0,NO,1.0,1.0,NO,2310.0,Toyota,Highlander,0.0
350.0,OH,500/1000,500.0,1495.1,0.0,MALE,College,other-service,basketball,wife,50500.0,0.0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,3.0,NO,0.0,0.0,?,70110.0,Chevrolet,Malibu,0.0
295.0,IL,100/300,500.0,1141.62,0.0,MALE,College,prof-specialty,kayaking,husband,34300.0,-24300.0,Vehicle Theft,?,Minor Damage,,WV,1.0,YES,1.0,3.0,YES,3360.0,Mercedes,E400,0.0
464.0,OH,500/1000,1000.0,1125.37,0.0,FEMALE,Associate,prof-specialty,basketball,husband,0.0,-56400.0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,3.0,?,0.0,2.0,YES,53200.0,Saab,95,1.0
118.0,IN,500/1000,2000.0,1207.36,0.0,FEMALE,High School,handlers-cleaners,camping,own-child,0.0,-57000.0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,2.0,NO,1.0,0.0,?,51940.0,Volkswagen,Passat,0.0
298.0,IL,500/1000,2000.0,1338.5,0.0,FEMALE,PhD,machine-op-inspct,basketball,other-relative,28800.0,0.0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,1.0,?,0.0,0.0,?,48870.0,Saab,93,1.0
87.0,IN,500/1000,1000.0,1074.07,0.0,FEMALE,Masters,sales,chess,husband,0.0,-47500.0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,3.0,NO,0.0,3.0,YES,44320.0,Nissan,Ultima,1.0
261.0,OH,250/500,500.0,1337.56,0.0,FEMALE,College,prof-specialty,video-games,unmarried,0.0,0.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,?,1.0,2.0,YES,52290.0,Dodge,RAM,0.0
